"Feature","Gain","Cover","Frequence"
"716",0.00107804,0.000844709,0.00128479
"535",0.00107548,0.00203291,0.00121058
"158",0.0010673,0.00100118,0.00129406
"1370",0.00106706,0.000841915,0.00124304
"995",0.00106316,0.000745753,0.00046846
"1132",0.00106015,0.000777402,0.00118506
"967",0.00105235,0.0025837,0.00108534
"903",0.00105063,0.00164087,0.00113173
"401",0.00104938,0.00160703,0.00101809
"534",0.0010457,0.00112224,0.00106215
"723",0.00104546,0.000772609,0.00119898
"841",0.00104359,0.000993132,0.00104128
"575",0.00104181,0.000390306,0.00114564
"768",0.00104135,0.000981876,0.00108766
"895",0.00103728,0.000580751,0.00110622
"438",0.00103451,0.0015735,0.0013961
"933",0.0010344,0.00172389,0.00102273
"1357",0.00103231,0.00103255,0.00105519
"712",0.00103146,0.00151632,0.00128247
"1083",0.00102743,0.000609378,0.00124304
"695",0.001026,0.000575782,0.00125696
"1383",0.00102532,0.000542926,0.00109462
"965",0.00102477,0.00157921,0.00101113
"1369",0.00102389,0.000911801,0.00121985
"46",0.00102363,0.000799491,0.000380334
"439",0.00101538,0.000468527,0.00121521
"953",0.00101124,0.0005719,0.000136827
"579",0.00100497,0.000573634,0.00122217
"567",0.000999215,0.000338237,0.00123377
"437",0.000995806,0.000627117,0.00118275
"958",0.000990736,0.000534885,0.00104824
"736",0.000989165,0.000711341,0.00118738
"765",0.000985638,0.000661592,0.00111317
"36",0.000984834,0.00242357,0.000433673
"576",0.000983115,0.000705459,0.00105056
"970",0.000982944,0.000679939,0.000874304
"1368",0.000981387,0.00043725,0.00117347
"1026",0.000980129,0.000516379,0.00121753
"451",0.000971905,0.00168162,0.000895176
"263",0.000970873,0.000694042,0.00121058
"378",0.000969575,0.0022405,0.000985622
"1061",0.000965511,0.000901862,0.00113868
"1079",0.000965211,0.00072462,0.00119434
"904",0.000965086,0.000714262,0.00107375
"959",0.000962884,0.000495702,0.00116883
"471",0.000959277,0.000411474,0.0012013
"1352",0.000956588,0.00109243,0.000967069
"43",0.000956197,0.000777642,0.000243506
"530",0.000955593,0.0012721,0.00104592
"1101",0.000954124,0.000522711,0.00121289
"639",0.0009493,0.00104232,0.00108071
"470",0.000943758,0.000553211,0.00118738
"1396",0.000942952,0.000612298,0.00109462
"586",0.000942616,0.0011117,0.00108302
"514",0.000938505,0.00237521,0.00102273
"527",0.000938409,0.00149147,0.000971707
"1374",0.000936362,0.000641804,0.0008859
"1392",0.000935012,0.000580894,0.00112245
"461",0.000932779,0.000950573,0.000906772
"1375",0.000931541,0.000441726,0.0011526
"627",0.000927643,0.000549649,0.000957792
"908",0.000923852,0.000570457,0.00116187
"1388",0.000923132,0.000322017,0.0011897
"909",0.000922793,0.00100005,0.00102737
"436",0.000922166,0.00117077,0.00112709
"628",0.000919604,0.00041293,0.00113636
"468",0.000917606,0.000705795,0.00121985
"917",0.000916466,0.000663689,0.00101345
"318",0.000913166,0.000351386,0.00113173
"920",0.000912005,0.000483402,0.00106215
"994",0.000910141,0.00066123,0.000424397
"804",0.000908444,0.00200869,0.00102968
"842",0.000901625,0.000744386,0.000980983
"1371",0.00089706,0.000454901,0.00102968
"294",0.000890925,0.00185239,0.00104128
"291",0.000889799,0.000547197,0.00099026
"737",0.00088885,0.00052743,0.00110158
"915",0.00088486,0.00161748,0.000888219
"520",0.000880909,0.00101687,0.000939239
"469",0.000878989,0.00113428,0.00112941
"1343",0.000878536,0.00100803,0.000927644
"1385",0.000877271,0.000789059,0.00113404
"1420",0.000873098,0.000825445,0.000978664
"964",0.000867006,0.00046933,0.000950835
"432",0.00086641,0.000585594,0.000904453
"421",0.000863799,0.000626196,0.000858071
"606",0.00086293,0.000524595,0.00111549
"351",0.000859087,0.000844617,0.00096243
"809",0.000855409,0.00127576,0.000899814
"1430",0.000853611,0.00106081,0.000916048
"647",0.000853183,0.000772016,0.000844156
"1344",0.000851893,0.000899867,0.00086039
"402",0.000847877,0.00109468,0.000514842
"632",0.000846309,0.000588875,0.000577458
"740",0.000846279,0.000473282,0.00100186
"457",0.000841388,0.000818433,0.00109694
"1425",0.00084084,0.000696994,0.000902134
"476",0.000839249,0.000970587,0.00104592
"1084",0.000837432,0.000504725,0.000976345
"1377",0.000834696,0.000423746,0.000904453
"168",0.000829864,0.00139055,0.000939239
"466",0.000828945,0.000419995,0.0010436
"1378",0.000828144,0.000604144,0.000876623
"1029",0.000825276,0.000432809,0.00106215
"751",0.000819056,0.000396927,0.000955473
"1177",0.000818643,0.00122214,0.000974026
"273",0.000818238,0.000488076,0.00101809
"1058",0.000816185,0.000639159,0.00100417
"601",0.000814255,0.000569441,0.000974026
"463",0.000808209,0.00114529,0.000802412
"251",0.000806389,0.000465183,0.00100649
"559",0.000801167,0.000658955,0.000985622
"692",0.000798705,0.000868967,0.000855751
"260",0.00079803,0.000554765,0.00096243
"808",0.000796022,0.000584832,0.000897495
"686",0.000790556,0.000678307,0.000943878
"966",0.00078837,0.000384125,0.0008859
"646",0.000785447,0.00059975,0.000730519
"882",0.000785011,0.000684787,0.000514842
"927",0.000784912,0.00105797,0.00041744
"539",0.00078362,0.00141828,0.000758349
"442",0.000781998,0.000767303,0.000943878
"185",0.000779916,0.000458832,0.00105519
"976",0.000778616,0.000894307,0.000447588
"1068",0.000778533,0.000966219,0.000878942
"607",0.000777159,0.000419861,0.001032
"477",0.000773937,0.000557745,0.00100417
"645",0.000767465,0.000463057,0.000967069
"540",0.000766699,0.000925031,0.000739796
"1435",0.000763341,0.00045239,0.00096243
"1309",0.000762866,0.00046916,0.000783859
"1053",0.000752798,0.000414744,0.000892857
"1367",0.000752189,0.000696322,0.00099026
"580",0.000749948,0.000351357,0.000881262
"962",0.000745215,0.00023125,0.00100649
"1085",0.000740007,0.000530533,0.000865028
"690",0.000739463,0.000289768,0.000985622
"37",0.00073892,0.000668717,0.000347866
"542",0.000738154,0.000435881,0.000983302
"277",0.000736349,0.00147049,0.000802412
"1376",0.000736164,0.000361794,0.000929963
"1426",0.000735704,0.000476231,0.000779221
"1089",0.000724974,0.000297776,0.00080705
"684",0.000724063,0.000490159,0.000422078
"257",0.000723976,0.00156873,0.000718924
"1471",0.000720664,0.00059517,0.000656308
"1379",0.000720485,0.000396288,0.000698052
"563",0.000715151,0.00103298,0.00086039
"939",0.000711397,0.000476953,0.000869666
"1382",0.000711166,0.000307066,0.000839518
"1250",0.000710765,0.0015498,0.000790816
"199",0.000708977,0.000456436,0.00078154
"323",0.000707679,0.00156195,0.000749072
"460",0.000703159,0.000238104,0.000960111
"1090",0.000702246,0.000245169,0.000865028
"608",0.000701995,0.000232874,0.000848794
"296",0.000701515,0.000259615,0.000934601
"489",0.000700567,0.00112396,0.000892857
"612",0.000698721,0.000305422,0.000871985
"983",0.000696214,0.00039692,0.000853432
"434",0.000694904,0.000341108,0.000846475
"648",0.000693583,0.000273477,0.00096475
"757",0.000688612,0.00113825,0.000540353
"625",0.000686922,0.000233511,0.000853432
"949",0.00068667,0.000397519,0.000795455
"879",0.000683416,0.000426456,0.000691095
"459",0.000683034,0.000544656,0.000869666
"615",0.000682565,0.00035611,0.000895176
"602",0.000681621,0.00111376,0.000758349
"631",0.000680424,0.000366608,0.000848794
"556",0.000673954,0.000469778,0.000825603
"845",0.000672552,0.000318662,0.000783859
"1028",0.000669925,0.000381777,0.000795455
"924",0.000667885,0.000335883,0.000776902
"758",0.000667342,0.000623566,0.000535714
"701",0.000664126,0.000523559,0.000217996
"1408",0.000663928,0.000218545,0.000839518
"276",0.000662087,0.000564138,0.000774583
"633",0.000661768,0.00148617,0.000519481
"1060",0.000661332,0.000404647,0.000758349
"980",0.000658149,0.00100617,0.00028757
"978",0.000656981,0.000682596,0.000797774
"1126",0.000655591,0.000353492,0.000814007
"613",0.000654596,0.000626861,0.000830241
"604",0.000652244,0.000437163,0.000698052
"400",0.000651483,0.000421783,0.000876623
"184",0.000649151,0.000272138,0.000811688
"660",0.000649074,0.000374848,0.000851113
"784",0.000646397,0.000362711,0.000742115
"448",0.000646113,0.00069184,0.000688776
"685",0.000644032,0.000461074,0.000739796
"900",0.00064383,0.000651043,0.000760668
"814",0.000642882,0.000462164,0.000802412
"1027",0.000641582,0.000388124,0.000744434
"472",0.000641479,0.000512099,0.000772263
"232",0.000640944,0.000514503,0.000797774
"1423",0.000639949,0.000347198,0.000762987
"1380",0.000637585,0.000370726,0.000714286
"614",0.000635674,0.000500941,0.000818646
"1350",0.000634294,0.000626994,0.000749072
"416",0.000633012,0.000860836,0.000484694
"587",0.00063206,0.000740809,0.000746753
"652",0.00063153,0.000244841,0.000797774
"793",0.000630053,0.000303765,0.000746753
"914",0.000627461,0.000776986,0.000635436
"100",0.000625338,0.00035846,0.000795455
"788",0.000621765,0.000341478,0.000749072
"697",0.000621394,0.000424913,0.000695733
"233",0.000621031,0.000279449,0.000804731
"42",0.000619146,0.00102202,0.000222635
"968",0.000617877,0.000734463,0.000480056
"577",0.000617698,0.00023606,0.000762987
"551",0.000615778,0.000298954,0.000735158
"665",0.000615356,0.000230593,0.000746753
"554",0.000613867,0.000378051,0.000718924
"1317",0.00061279,0.000253276,0.000753711
"1077",0.000610324,0.00020548,0.000793135
"599",0.000607756,0.000313568,0.000823284
"626",0.000605348,0.000225163,0.000758349
"984",0.000604895,0.000740351,0.000693414
"963",0.00060488,0.00043386,0.000737477
"1086",0.000602678,0.000387941,0.000758349
"787",0.000601825,0.000522322,0.000644712
"766",0.000601654,0.000540642,0.000635436
"775",0.000598162,0.000216529,0.000776902
"709",0.000596864,0.000446267,0.000739796
"792",0.000596681,0.000495095,0.00057282
"588",0.000595092,0.00057411,0.000614564
"901",0.000593659,0.000559256,0.000637755
"935",0.000593094,0.000406918,0.000765306
"824",0.000591858,0.000585262,0.00062616
"543",0.000585747,0.00032009,0.000786178
"1118",0.000584421,0.000734174,0.000758349
"1390",0.00058403,0.000279032,0.000721243
"428",0.000583415,0.00140866,0.000730519
"1403",0.000581668,0.000203951,0.000751391
"689",0.000573745,0.000186942,0.000751391
"810",0.000573689,0.000253025,0.000746753
"993",0.000572773,0.000353868,0.000489332
"541",0.000570399,0.0002279,0.0007282
"899",0.000570377,0.000965396,0.000670223
"114",0.00056716,0.000511695,0.000658627
"1018",0.000566476,0.000892525,0.000609926
"446",0.000565635,0.000373203,0.00067718
"691",0.000562615,0.000273918,0.000628479
"1450",0.000562345,0.000596444,0.000586735
"624",0.000561626,0.000346308,0.000735158
"297",0.000559169,0.000254949,0.000700371
"878",0.000557649,0.000350526,0.000579777
"1475",0.000557614,0.000542313,0.000637755
"641",0.000554768,0.000385656,0.000667904
"561",0.00055269,0.000291526,0.000591373
"427",0.000551358,0.000730771,0.000642393
"1287",0.000547797,0.000354978,0.000556586
"763",0.000545639,0.000315711,0.00059833
"1093",0.000545332,0.000456778,0.000723562
"1422",0.000544448,0.000517584,0.000647032
"423",0.000543781,0.00029447,0.000672542
"664",0.000543469,0.000152225,0.000658627
"1113",0.000542233,0.000189544,0.000709647
"661",0.000541993,0.000216452,0.000644712
"564",0.000537452,0.000359317,0.00062616
"649",0.000537176,0.000217241,0.000605288
"1048",0.000533846,0.000504842,0.000607607
