"train.auc.mean","train.auc.std","test.auc.mean","test.auc.std"
0.970626,0.000825,0.784374,0.001812
0.970775,0.000836,0.784391,0.001817
0.970896,0.000862,0.784408,0.001814
0.971009,0.000879,0.784438,0.001795
0.971142,0.000874,0.784466,0.001798
0.971312,0.000851,0.784498,0.001822
0.971432,0.000853,0.784526,0.00183
0.971543,0.000854,0.784548,0.001839
0.971677,0.000815,0.78457,0.001837
0.971823,0.000786,0.784587,0.001836
0.971978,0.00076,0.784594,0.001835
0.972141,0.000755,0.784629,0.001829
0.972302,0.000769,0.784657,0.001823
0.972473,0.000745,0.784669,0.001811
0.972623,0.000725,0.784703,0.001823
0.972773,0.000715,0.78472,0.001797
0.972888,0.000689,0.784736,0.001822
0.972991,0.000707,0.784747,0.001831
0.973102,0.000694,0.784768,0.001834
0.973235,0.000662,0.784784,0.001836
0.973369,0.000675,0.784798,0.001837
0.973469,0.000672,0.784821,0.001831
0.973568,0.000681,0.784831,0.00184
0.973716,0.00067,0.784847,0.001836
0.973838,0.000693,0.784873,0.001843
0.973961,0.000683,0.784898,0.001843
0.974087,0.000688,0.784929,0.001841
0.974218,0.000666,0.784965,0.001855
0.974358,0.000635,0.784982,0.001848
0.974473,0.000595,0.78498,0.001872
0.974614,0.000539,0.785,0.001879
0.974728,0.000548,0.785024,0.001874
0.974875,0.000546,0.785045,0.001884
0.974985,0.000571,0.785067,0.001892
0.975124,0.000562,0.785099,0.001882
0.975229,0.000567,0.785119,0.001882
0.975362,0.00053,0.785134,0.001889
0.975499,0.000513,0.785165,0.001875
0.975583,0.000507,0.785185,0.001886
0.97568,0.000522,0.785209,0.001886
0.975788,0.000545,0.785238,0.001863
0.975917,0.000572,0.785259,0.001871
0.976029,0.000558,0.785281,0.001857
0.976127,0.000561,0.785305,0.001845
0.976216,0.000546,0.785332,0.001841
0.976313,0.000568,0.785347,0.001827
0.976416,0.000593,0.785357,0.001822
0.976537,0.000606,0.785382,0.001822
0.976639,0.000592,0.785414,0.001828
0.976736,0.000618,0.785431,0.001834
0.976863,0.000599,0.785437,0.001855
0.976958,0.000587,0.785454,0.001861
0.977085,0.000595,0.785474,0.001859
0.977187,0.000577,0.785494,0.001862
0.977302,0.000574,0.785515,0.001854
0.977401,0.000585,0.785525,0.001868
0.977497,0.000553,0.785537,0.001873
0.977601,0.000545,0.785567,0.001894
0.977704,0.000544,0.785575,0.001893
0.977825,0.000529,0.785577,0.001889
0.977904,0.000533,0.785597,0.001895
0.978014,0.000548,0.785624,0.001906
0.978108,0.00055,0.785656,0.001906
0.978209,0.000553,0.78567,0.001899
0.978305,0.00053,0.785699,0.001898
0.978424,0.000499,0.785723,0.0019
0.978529,0.000487,0.785747,0.00189
0.978614,0.000518,0.785771,0.001896
0.978716,0.000516,0.785795,0.001925
0.978833,0.000505,0.78581,0.00193
0.978958,0.000498,0.785809,0.001927
0.979051,0.00049,0.785836,0.001924
0.979138,0.000517,0.785859,0.001928
0.979248,0.000512,0.785882,0.001929
0.979347,0.000498,0.785905,0.001935
0.979449,0.000488,0.785919,0.001946
0.979543,0.0005,0.78594,0.001954
0.979636,0.000512,0.785951,0.001962
0.979732,0.000485,0.78597,0.001962
0.979838,0.000466,0.785979,0.001969
0.979904,0.000478,0.785997,0.001963
0.979982,0.000498,0.786012,0.001965
0.980076,0.000493,0.786015,0.001958
0.980176,0.000491,0.786032,0.001954
0.98027,0.000513,0.786034,0.00194
0.980372,0.000539,0.786056,0.001948
0.980478,0.000527,0.786069,0.001954
0.980575,0.000536,0.78608,0.001963
0.98068,0.000556,0.7861,0.001969
0.980769,0.000553,0.786103,0.001965
0.980869,0.000544,0.786104,0.001961
0.980949,0.00053,0.786121,0.001956
0.981037,0.000536,0.786143,0.001948
0.98111,0.000535,0.786163,0.001957
0.981208,0.00053,0.786176,0.00195
0.981298,0.000513,0.786193,0.001949
0.981391,0.000512,0.786209,0.001954
0.981499,0.000521,0.786222,0.001944
0.981576,0.000505,0.786234,0.001952
0.981652,0.000474,0.786273,0.001949
0.981761,0.000479,0.786281,0.001958
0.981849,0.00049,0.786299,0.001964
0.981936,0.000488,0.786315,0.001953
0.982014,0.000452,0.786323,0.001954
0.982093,0.000473,0.786342,0.001947
0.98215,0.000465,0.78636,0.001948
0.982215,0.000436,0.786375,0.001948
0.982306,0.000424,0.786369,0.001959
0.982402,0.000425,0.786393,0.001952
0.982456,0.000425,0.786415,0.001957
0.982527,0.000418,0.78644,0.001972
0.982613,0.000412,0.786463,0.00197
0.982678,0.000409,0.786479,0.001963
0.982783,0.000404,0.786501,0.001952
0.982849,0.000407,0.786523,0.001953
0.98293,0.000411,0.786549,0.001958
0.983018,0.000419,0.786556,0.001959
0.983102,0.000436,0.786569,0.001958
0.983169,0.000445,0.78659,0.001978
0.983251,0.000401,0.786604,0.001975
0.983346,0.000401,0.786617,0.001986
